Schwierigkeit	Fragetext (DE)	Erklärung (DE)	Korrekte Antwort (DE)	Falsche Antwort 1 (DE)	Falsche Antwort 2 (DE)	Falsche Antwort 3 (DE)	Autor:in	Überarbeitung	Quellen	Medium 1 Typ	Medium 1 Datei	Medium 1 Alternativtext (DE)	Medium 2 Typ	Medium 2 Datei	Medium 2 Alternativtext (DE)
1	Wo ist der *seseo* verbreitet?	Während die *distinción* als regionale Besonderheit die Unterscheidung zwischen den Phonemen /θ/ und /s/ beschreibt, findet sich im Großteil der spanischsprachigen Welt nur der Laut /s/ im phonologischen System – der *seseo*.	Überall in der spanischsprachigen Welt mit Ausnahme einiger Regionen Spaniens	In Zentral- und Nordspanien	In großen Teilen Spaniens sowie im Norden Argentiniens	Nur in Mexiko und Zentralamerika	Mika	Mika							
1	In welcher der folgenden Sprachen wird der Interdentallaut [θ] ebenfalls regelmäßig verwendet?	Der Interdentallaut [θ] ist im Englischen ein regulärer Laut und kann Bedeutungen unterscheiden, etwa in Minimalpaaren wie *thin* [θɪn] vs. *sin* [sɪn]. In den meisten romanischen Sprachen wie dem Französischen, Portugiesischen oder Italienischen gehört [θ] hingegen nicht zum Lautsystem. Der Vergleich zeigt, dass [θ] sprachübergreifend vorkommt; seine Verwendung im Spanischen mit *distinción* ist jedoch eine spezifische varietätenbezogene Besonderheit.	Im Englischen	Im Französischen	Im Portugiesischen	Im Italienischen	Mika	Mika							
1	Worum geht es bei der sogenannten *distinción* im Spanischen?	Die *distinción* bezeichnet die phonologische Unterscheidung zwischen /θ/ und /s/, wie sie in vielen Varietäten Spaniens vorkommt. Während beim *seseo* beide Laute als /s/ realisiert werden, bleibt bei der *distinción* der Interdentallaut [θ] erhalten und wird z. B. in Wörtern wie *cena* oder *zapato* ausgesprochen.	Unterscheidung der Phoneme /s/ und /θ/	Abschwächung von /s/ am Silbenende	Unterscheidung der Grapheme <ll> und <y>	Velarisierung des Phonems /n/	KSQ									
1	Was beschreibt das Phänomen des *yeísmo*?	Der *yeísmo* bezeichnet die Neutralisierung der beiden palatalen Phoneme /ʎ/ und /ʝ/. In *yeísta*-Varietäten werden beide Laute als /ʝ/ realisiert, sodass Wörter wie *calló* und *cayó* gleich ausgesprochen werden. Der *yeísmo* ist heute in vielen Regionen der spanischsprachigen Welt verbreitet, während die Unterscheidung /ʎ/ vs. /ʝ/ nur noch in wenigen Varietäten erhalten ist.	Die Neutralisierung der Phoneme /ʎ/ und /ʝ/ zu /ʝ/	Die Unterscheidung der Phoneme /ʎ/ und /ʝ/	Die Neutralisierung der Phoneme /ʎ/ und /ʝ/ zu /ʎ/	Die Neutralisierung der Phoneme /s/ und /θ/ zu /s/	Mika	Mika							
1	Wie heißt die Aussprachevariante des Spanischen, bei der /s/ und /θ/ nicht unterschieden werden?	Beim *seseo* werden die Phoneme /s/ und /θ/ nicht unterschieden, sondern beide als [s] realisiert (z. B. *casa* und *caza* mit [s]). Beim *ceceo* fallen die beiden Phoneme zwar ebenfalls zusammen, werden jedoch als [θ] ausgesprochen. Der Begriff *distinción* bezeichnet demgegenüber die systematische Unterscheidung von /s/ und /θ/ (z. B. *casa* mit [s] vs. *caza* mit [θ]).	*Seseo*	*Ceceo*	*Distinción*	*Yeísmo*	FT	FT							
1	Welcher Laut wird in Varietäten mit *distinción* im Unterschied zum *seseo* unterschieden?	Bei der *distinción* werden die Phoneme /s/ und /θ/ systematisch unterschieden; zusätzlich zum alveolaren Frikativ [s] tritt der interdental artikulierte Laut [θ] auf, etwa in *cena* oder *zapato*.	/θ/	/s/	/z/	/ʎ/	FT	FT							
1	In welchen Regionen Spaniens wird der Laut [θ] (z. B. in *zapato*, *cena*, *cine*) nicht realisiert?	In Westandalusien und auf den Kanarischen Inseln ist der *seseo* verbreitet; die Grapheme <z> sowie <ce/ci> werden dort nicht als [θ], sondern als [s] realisiert. In anderen Regionen Spaniens, etwa in Zentral- und Nordspanien, ist hingegen die *distinción*, also die Unterscheidung von [θ] und [s], üblich.	In Westandalusien und auf den Kanarischen Inseln	In Andalusien und auf den Balearen	In Nordwestspanien	In Zentralspanien	FT	FT							
1	In welchen Teilen der spanischsprachigen Welt ist der *yeísmo* heute die übliche Aussprachevariante?	Der *yeísmo* (Neutralisierung von /ʎ/ und /ʝ/ zu /ʝ/) ist heute in den meisten Regionen der spanischsprachigen Welt verbreitet, sowohl in Hispanoamerika als auch in weiten Teilen Spaniens. Nur in wenigen Regionen, etwa in Teilen Nordspaniens oder in einzelnen Varietäten Südamerikas, ist die Unterscheidung /ʎ/ vs. /ʝ/ noch erhalten.	In den meisten Regionen der spanischsprachigen Welt	Nur in Nordspanien und den Anden	Nur in Mexiko und Zentralamerika	Nur im Süden Spaniens	FT	FT							
1	Welches der folgenden Phänomene betrifft nicht die Aussprachevariation im Spanischen?	Der *voseo* betrifft die Verwendung des Pronomens *vos* statt *tú* (und entsprechende Verbformen) und ist primär ein morphosyntaktisches Phänomen. Im Gegensatz dazu sind *seseo*, *yeísmo* oder die Abschwächung von /s/ phonetisch-phonologische Phänomene der Aussprachevariation.	Der *voseo*	Der *seseo*	Der *yeísmo*	Die Aspiration von /s/	FT	FT							
1	Welches spanischsprachige Land hat die beste und korrekteste Aussprache?	Es gibt im Spanischen keine allgemein „beste“ oder „korrekteste“ Aussprache. Alle Varietäten sind linguistisch gleichwertig; Unterschiede sind regional, sozial oder stilistisch bedingt und nicht prinzipiell „besser“ oder „schlechter“.	Keines – alle Varietäten sind gleichwertig	Mexiko	Spanien (Zentralspanien)	Kolumbien	FT	FT							
